Date,Tmin,Tmax,Tmean
01-Jan-88,12.3,34.06,23.18
02-Jan-88,12.42501156,34.16,23.29114285
03-Jan-88,11.89386705,34.09,22.99105053
04-Jan-88,14.39046676,34.54,24.465911
05-Jan-88,20.81992776,34.12,27.47192231
06-Jan-88,21.71274588,33.62,27.66484511
07-Jan-88,21.80553925,33.76,27.78391561
08-Jan-88,21.65354133,34.72,28.18592865
09-Jan-88,19.40512572,34.98,27.19264271
10-Jan-88,19.96960459,35.31,27.64177755
11-Jan-88,18.49127217,35.11,26.80232148
12-Jan-88,18.32069862,35.01,26.66460055
13-Jan-88,21.32265748,34.99,28.15424287
14-Jan-88,19.49274505,34.98,27.23394513
15-Jan-88,19.72583115,34.81,27.26996559
16-Jan-88,22.2849434,34.65,28.46601951
17-Jan-88,22.07263827,34.23,28.14980329
18-Jan-88,20.75911163,35.51,28.13504042
19-Jan-88,19.71802768,35.63,27.67314621
20-Jan-88,20.33119339,35.54,27.9373239
21-Jan-88,22.52693562,34.63,28.57956655
22-Jan-88,22.16365042,34.43,28.29625329
23-Jan-88,22.20682393,35.32,28.76423893
24-Jan-88,17.6446811,35.83,26.73839794
25-Jan-88,17.47444682,36.12,26.79488573
26-Jan-88,18.58525303,35.95,27.26805841
27-Jan-88,21.52944929,36.00,28.76304879
28-Jan-88,20.315332,36.00,28.15617183
29-Jan-88,17.99091742,35.88,26.93709729
30-Jan-88,15.94276246,35.73,25.83849281
31-Jan-88,20.84681578,35.99,28.41653586
01-Feb-88,21.29322484,35.76,28.52498844
02-Feb-88,22.5997114,34.93,28.7660622
03-Feb-88,22.43388778,35.65,29.04324913
04-Feb-88,21.11688351,36.34,28.7266046
05-Feb-88,21.44166031,35.88,28.66279576
06-Feb-88,24.03181678,36.89,30.46026805
07-Feb-88,22.32022863,36.59,29.45400285
08-Feb-88,22.65984897,35.24,28.94801925
09-Feb-88,22.71489733,35.00,28.85853859
10-Feb-88,20.82433841,35.33,28.07612115
11-Feb-88,20.58438188,35.22,27.90014771
12-Feb-88,20.48972246,35.82,28.1541963
13-Feb-88,23.65394249,37.14,30.39781968
14-Feb-88,22.15907012,37.22,29.69111717
15-Feb-88,24.29908544,37.32,30.80948924
16-Feb-88,19.98928289,36.25,28.11999942
17-Feb-88,22.79488284,35.57,29.18435745
18-Feb-88,24.52716713,35.48,30.00231686
19-Feb-88,24.4914578,35.71,30.10201208
20-Feb-88,24.09797659,36.15,30.12242082
21-Feb-88,23.48786441,36.95,30.21692535
22-Feb-88,24.35311595,36.82,30.58657926
23-Feb-88,24.23402829,37.00,30.61504342
24-Feb-88,21.01399653,36.67,28.84107542
25-Feb-88,22.69174139,36.97,29.83129106
26-Feb-88,24.47712317,36.37,30.42209494
27-Feb-88,24.57398792,36.37,30.47187178
28-Feb-88,22.0443083,36.94,29.4924947
29-Feb-88,20.25129269,36.70,28.47622046
01-Mar-88,17.33831029,36.64,26.99080508
02-Mar-88,17.02710474,37.41,27.21746655
03-Mar-88,21.06811186,37.88,29.47405099
04-Mar-88,20.82874907,37.40,29.11581781
05-Mar-88,18.29169009,37.17,27.73064685
06-Mar-88,18.7115504,36.67,27.69156019
07-Mar-88,19.06474199,37.09,28.07829231
08-Mar-88,18.12137099,36.97,27.54559715
09-Mar-88,18.42646949,37.25,27.83695338
10-Mar-88,17.90066866,36.90,27.39930878
11-Mar-88,18.0594522,36.66,27.35973352
12-Mar-88,19.28714073,37.12,28.20246396
13-Mar-88,19.43871455,37.42,28.43108389
14-Mar-88,17.14398706,36.91,27.02514673
15-Mar-88,16.02368099,37.42,26.7220773
16-Mar-88,15.51967897,37.00,26.25921322
17-Mar-88,15.57269163,36.38,25.97442129
18-Mar-88,16.08907741,36.74,26.41517079
19-Mar-88,15.25868701,37.28,26.27072187
20-Mar-88,14.71159629,37.66,26.18391187
21-Mar-88,15.4519924,37.91,26.67990829
22-Mar-88,16.17550927,38.14,27.16012504
23-Mar-88,17.46129968,38.38,27.92213262
24-Mar-88,18.15241521,37.37,27.7623167
25-Mar-88,18.22917755,37.46,27.84673673
26-Mar-88,18.33791713,37.76,28.0490704
27-Mar-88,19.26339106,38.05,28.65472041
28-Mar-88,20.14178973,36.36,28.24857798
29-Mar-88,20.11473207,36.69,28.40165386
30-Mar-88,21.10865595,35.34,28.2245662
31-Mar-88,19.93720325,35.67,27.80162919
01-Apr-88,19.52192323,36.24,27.88036033
02-Apr-88,19.4703525,36.25,27.86078858
03-Apr-88,23.24536327,35.94,29.59338973
04-Apr-88,22.70149572,36.82,29.75942469
05-Apr-88,21.22536863,36.87,29.04745104
06-Apr-88,22.13896772,36.32,29.23190547
07-Apr-88,21.56931481,35.27,28.42128399
08-Apr-88,22.44169125,35.78,29.10877825
09-Apr-88,21.78840556,36.33,29.05982204
10-Apr-88,22.97351432,35.35,29.16284563
11-Apr-88,22.12149474,35.06,28.59101584
12-Apr-88,20.35977782,32.87,26.6156171
13-Apr-88,19.71344739,32.18,25.94903179
14-Apr-88,19.88902534,32.06,25.97533872
15-Apr-88,19.16678077,33.07,26.1166105
16-Apr-88,19.39969722,35.04,27.21954304
17-Apr-88,21.0749823,35.38,28.22786002
18-Apr-88,19.83414663,35.28,27.55918678
19-Apr-88,19.47612028,34.45,26.96288058
20-Apr-88,19.23090489,30.53,24.87818899
21-Apr-88,19.44261628,32.25,25.84697352
22-Apr-88,19.63702433,30.50,25.06998427
23-Apr-88,19.70411716,31.73,25.71602556
24-Apr-88,19.47739259,32.42,25.95033479
25-Apr-88,19.20299903,31.44,25.32353454
26-Apr-88,19.16737451,32.11,25.63729655
27-Apr-88,19.36330933,30.80,25.08243511
28-Apr-88,19.77214301,32.81,26.29214879
29-Apr-88,17.81847782,32.64,25.2309419
30-Apr-88,19.61938171,29.21,24.41480208
01-May-88,18.99798844,30.37,24.68262532
02-May-88,19.37611719,28.58,23.97849222
03-May-88,19.54796305,30.78,25.16251644
04-May-88,19.15668716,29.41,24.28221852
05-May-88,18.86422688,28.34,23.60456113
06-May-88,19.04497887,30.15,24.59718249
07-May-88,18.87915525,28.64,23.7620604
08-May-88,18.96711387,30.88,24.92205509
09-May-88,16.98282856,33.01,24.99738171
10-May-88,14.76316701,33.39,24.07777464
11-May-88,14.32812387,33.19,23.75672922
12-May-88,14.02039594,33.57,23.79545086
13-May-88,14.45238556,33.91,24.18157506
14-May-88,16.59850793,33.84,25.22047956
15-May-88,17.36205997,34.02,25.69008188
16-May-88,19.01512214,33.67,26.34125105
17-May-88,18.74861686,33.98,26.363157
18-May-88,17.58445871,33.54,25.56160302
19-May-88,18.12179509,33.41,25.76424705
