Month,ArbaMinch,Chinch,Zigit
jan,46.62818351,50.80830562,44.90262921
feb,56.276134,48.25609776,52.36098033
mar,77.17217952,102.3171847,84.8514758
apr,214.6326703,177.6632121,161.0508831
may,199.537837,144.7096293,186.4040194
jun,87.50923919,82.2643351,110.1214508
jul,59.18342372,102.2843337,82.34766176
aug,71.48860309,105.7447828,79.51180069
sep,120.1719769,123.958869,123.0531867
oct,120.1719769,123.958869,123.0531867
nov,93.26039363,81.04446816,98.63636309
dec,53.96738232,56.9899127,53.70636244
