Month,ArbaMinch,Chincha,Zigit
jan,1.125833333,1.706300401,1.345026882
feb,1.358782238,1.62058935,1.568436578
mar,1.863315394,3.136128232,2.541666667
apr,4.18673801,5.166481395,4.824166667
may,3.818395874,4.859797932,4.636021505
jun,2.612902778,2.98,3.298611111
jul,1.828978489,2.43941,2.466666667
aug,1.726085948,2.901,2.38172043
sep,3.015416667,4.162923076,3.685972222
oct,2.901541667,4.162923076,3.685972222
nov,2.251763889,2.721724468,2.954583333
dec,1.303037634,1.913897929,1.608736559
