YEAR,Month,day,temperature
1978,1,1,
1978,1,2,
1978,1,3,
1978,1,4,
1978,1,5,
1978,1,6,
1978,1,7,
1978,1,8,
1978,1,9,
1978,1,10,
1978,1,11,
1978,1,12,
1978,1,13,
1978,1,14,
1978,1,15,
1978,1,16,
1978,1,17,
1978,1,18,
1978,1,19,
1978,1,20,
1978,1,21,
1978,1,22,
1978,1,23,
1978,1,24,
1978,1,25,
1978,1,26,
1978,1,27,
1978,1,28,25.2
1978,1,29,20.0
1978,1,30,20.0
1978,1,31,27.0
1978,2,1,28.4
1978,2,2,29.2
1978,2,3,29.6
1978,2,4,28.2
1978,2,5,29.2
1978,2,6,29.0
1978,2,7,25.0
1978,2,8,26.8
1978,2,9,28.0
1978,2,10,28.0
1978,2,11,27.6
1978,2,12,28.0
1978,2,13,27.2
1978,2,14,28.4
1978,2,15,28.0
1978,2,16,28.2
1978,2,17,28.0
1978,2,18,27.4
1978,2,19,29.4
1978,2,20,26.2
1978,2,21,27.8
1978,2,22,27.2
1978,2,23,27.4
1978,2,24,27.2
1978,2,25,26.8
1978,2,26,27.2
1978,2,27,27.0
1978,2,28,26.6
1978,2,29,
1978,2,30,
1978,2,31,
1978,3,1,28.8
1978,3,2,28.0
1978,3,3,28.8
1978,3,4,25.6
1978,3,5,28.8
1978,3,6,28.0
1978,3,7,29.0
1978,3,8,28.8
1978,3,9,28.0
1978,3,10,27.4
1978,3,11,28.4
1978,3,12,27.6
1978,3,13,26.6
1978,3,14,26.4
1978,3,15,27.0
1978,3,16,29.6
1978,3,17,29.2
1978,3,18,29.4
1978,3,19,32.0
1978,3,20,31.4
1978,3,21,29.9
1978,3,22,29.0
1978,3,23,28.4
1978,3,24,30.8
1978,3,25,30.4
1978,3,26,32.0
1978,3,27,31.2
1978,3,28,30.2
1978,3,29,29.4
1978,3,30,28.6
1978,3,31,29.8
1978,4,1,28.4
1978,4,2,32.0
1978,4,3,32.6
1978,4,4,31.4
1978,4,5,29.6
1978,4,6,29.4
1978,4,7,30.0
1978,4,8,30.0
1978,4,9,29.8
1978,4,10,29.0
1978,4,11,32.0
1978,4,12,30.0
1978,4,13,35.6
1978,4,14,31.4
1978,4,15,29.8
1978,4,16,30.0
1978,4,17,31.0
1978,4,18,30.6
1978,4,19,31.6
1978,4,20,30.8
1978,4,21,28.7
1978,4,22,28.0
1978,4,23,27.8
1978,4,24,25.5
1978,4,25,28.6
1978,4,26,30.0
1978,4,27,28.4
1978,4,28,25.8
1978,4,29,28.2
1978,4,30,28.4
1978,4,31,
1978,5,1,28.6
1978,5,2,27.8
1978,5,3,30.0
1978,5,4,26.4
1978,5,5,29.0
1978,5,6,25.6
1978,5,7,26.6
1978,5,8,28.7
1978,5,9,26.8
1978,5,10,28.2
1978,5,11,28.8
1978,5,12,29.4
1978,5,13,29.0
1978,5,14,29.4
1978,5,15,28.6
1978,5,16,27.8
1978,5,17,28.0
1978,5,18,29.0
1978,5,19,28.0
1978,5,20,29.0
1978,5,21,27.6
1978,5,22,27.8
1978,5,23,27.6
1978,5,24,32.0
1978,5,25,31.6
1978,5,26,32.6
1978,5,27,33.0
1978,5,28,33.2
1978,5,29,29.0
1978,5,30,26.6
1978,5,31,29.2
1978,6,1,32.0
1978,6,2,31.0
1978,6,3,30.0
1978,6,4,32.6
1978,6,5,30.0
1978,6,6,29.2
1978,6,7,27.0
1978,6,8,25.2
1978,6,9,32.0
1978,6,10,28.0
1978,6,11,25.6
1978,6,12,26.0
1978,6,13,25.0
1978,6,14,24.0
1978,6,15,24.4
1978,6,16,24.8
1978,6,17,22.0
1978,6,18,22.6
1978,6,19,23.0
1978,6,20,24.8
1978,6,21,25.0
1978,6,22,25.0
1978,6,23,23.0
1978,6,24,24.0
1978,6,25,22.4
1978,6,26,21.5
1978,6,27,22.4
1978,6,28,22.6
1978,6,29,20.0
1978,6,30,21.0
1978,6,31,
1978,7,1,22.2
1978,7,2,22.0
1978,7,3,23.0
1978,7,4,19.0
1978,7,5,20.0
1978,7,6,27.0
1978,7,7,22.6
1978,7,8,20.6
1978,7,9,20.8
1978,7,10,22.4
1978,7,11,22.4
1978,7,12,22.8
1978,7,13,21.5
1978,7,14,25.4
1978,7,15,27.4
1978,7,16,28.4
1978,7,17,21.8
1978,7,18,20.8
1978,7,19,20.0
1978,7,20,21.0
1978,7,21,22.0
1978,7,22,22.4
1978,7,23,19.0
1978,7,24,22.0
1978,7,25,17.4
1978,7,26,20.4
1978,7,27,23.0
1978,7,28,22.6
1978,7,29,22.6
1978,7,30,21.4
1978,7,31,22.6
1978,8,1,22.0
1978,8,2,23.6
1978,8,3,22.0
1978,8,4,22.0
1978,8,5,21.6
1978,8,6,22.6
1978,8,7,21.6
1978,8,8,22.4
1978,8,9,21.2
1978,8,10,22.2
1978,8,11,19.2
1978,8,12,21.6
1978,8,13,19.0
1978,8,14,20.6
1978,8,15,22.2
1978,8,16,21.6
1978,8,17,21.2
1978,8,18,23.0
1978,8,19,22.2
1978,8,20,21.0
1978,8,21,21.2
1978,8,22,22.0
1978,8,23,22.4
1978,8,24,24.6
1978,8,25,24.6
1978,8,26,21.4
1978,8,27,23.8
1978,8,28,24.2
1978,8,29,20.6
1978,8,30,23.4
1978,8,31,24.4
1978,9,1,21.3
