Year,Month,10,20,30
1990,1,30,29,29.6
1990,2,32.1,33,33
1990,3,32.5,27.2,28.5
1990,4,30.2,31.5,31.5
1990,5,35.8,36,36
1990,6,37.2,37.6,37.2
1990,7,2,36,37.1
1990,8,32.6,32.4,33.5
1990,9,32.5,32.2,32.5
1990,10,33.8,33.4,33.3
1990,11,33.8,33.5,32.6
1990,12,29.3,29,29
1991,1,28.9,29.4,29.7
1991,2,32.5,32.3,32
1991,3,32.7,33.5,34.2
1991,4,35.5,,36.5
1991,5,37.5,35,35
1991,6,35.5,35.6,36
1991,7,35.5,36.5,37.1
1991,8,32.5,34,35
1991,9,30.2,33,33
1991,10,35.6,36.7,36
1991,11,33.7,34,34
1991,12,29,30,29
