Datetime,PM25
24/12/2019 11:00,13
24/12/2019 11:01,14
24/12/2019 11:02,14
24/12/2019 11:03,14
24/12/2019 11:04,14
24/12/2019 11:05,12
24/12/2019 11:06,16
24/12/2019 11:07,13
24/12/2019 11:08,15
24/12/2019 11:09,13
24/12/2019 11:10,13
24/12/2019 11:11,16
24/12/2019 11:12,15
24/12/2019 11:13,14
24/12/2019 11:14,15
24/12/2019 11:15,12
24/12/2019 11:16,16
24/12/2019 11:17,14
24/12/2019 11:18,14
24/12/2019 11:19,12
24/12/2019 11:20,12
24/12/2019 11:21,13
24/12/2019 11:22,13
24/12/2019 11:23,13
24/12/2019 11:24,13
24/12/2019 11:25,14
24/12/2019 11:26,13
24/12/2019 11:27,13
24/12/2019 11:28,13
24/12/2019 11:29,12
24/12/2019 11:30,14
24/12/2019 11:31,13
24/12/2019 11:32,12
24/12/2019 11:33,11
24/12/2019 11:34,11
24/12/2019 11:35,9
24/12/2019 11:36,12
24/12/2019 11:37,11
24/12/2019 11:38,11
24/12/2019 11:39,13
24/12/2019 11:40,13
24/12/2019 11:41,14
24/12/2019 11:42,14
24/12/2019 11:43,35
24/12/2019 11:44,13
24/12/2019 11:45,14
24/12/2019 11:46,13
24/12/2019 11:47,15
24/12/2019 11:48,13
24/12/2019 11:49,14
24/12/2019 11:50,14
24/12/2019 11:51,14
24/12/2019 11:52,19
24/12/2019 11:53,14
24/12/2019 11:54,12
24/12/2019 11:55,12
24/12/2019 11:56,14
24/12/2019 11:57,14
24/12/2019 11:58,13
24/12/2019 11:59,13
24/12/2019 12:00,13
24/12/2019 12:01,14
24/12/2019 12:02,13
24/12/2019 12:03,12
24/12/2019 12:04,14
24/12/2019 12:05,12
24/12/2019 12:06,13
24/12/2019 12:07,15
24/12/2019 12:08,14
24/12/2019 12:09,14
24/12/2019 12:10,13
24/12/2019 12:11,14
24/12/2019 12:12,14
24/12/2019 12:13,15
24/12/2019 12:14,13
24/12/2019 12:15,14
24/12/2019 12:16,14
24/12/2019 12:17,14
24/12/2019 12:18,15
24/12/2019 12:19,15
24/12/2019 12:20,16
24/12/2019 12:21,12
24/12/2019 12:22,13
24/12/2019 12:23,11
24/12/2019 12:24,13
24/12/2019 12:25,14
24/12/2019 12:26,15
24/12/2019 12:27,16
24/12/2019 12:28,15
24/12/2019 12:29,13
24/12/2019 12:30,13
24/12/2019 12:31,13
24/12/2019 12:32,14
24/12/2019 12:33,13
24/12/2019 12:34,18
24/12/2019 12:35,16
24/12/2019 12:36,12
24/12/2019 12:37,13
24/12/2019 12:38,12
24/12/2019 12:39,12
24/12/2019 12:40,13
24/12/2019 12:41,13
24/12/2019 12:42,11
24/12/2019 12:43,13
24/12/2019 12:44,12
24/12/2019 12:45,12
24/12/2019 12:46,13
24/12/2019 12:47,13
24/12/2019 12:48,12
24/12/2019 12:49,13
24/12/2019 12:50,13
24/12/2019 12:51,12
24/12/2019 12:52,11
24/12/2019 12:53,12
24/12/2019 12:54,11
24/12/2019 12:55,12
24/12/2019 12:56,12
24/12/2019 12:57,11
24/12/2019 12:58,12
24/12/2019 12:59,10
24/12/2019 13:00,11
24/12/2019 13:01,11
24/12/2019 13:02,13
24/12/2019 13:03,14
24/12/2019 13:04,14
24/12/2019 13:05,14
24/12/2019 13:06,12
24/12/2019 13:07,12
24/12/2019 13:08,11
24/12/2019 13:09,11
